id,asset,year,rep_period,time_block_start,time_block_end,dual_max_input_flows_limit_simple_method
1,AT_Battery,2050,1,1,3,0.0
2,AT_Battery,2050,1,4,6,0.0
3,AT_Battery,2050,1,7,9,0.0
4,AT_Battery,2050,1,10,12,0.0
5,AT_Battery,2050,1,13,15,-0.0
6,AT_Battery,2050,1,16,18,0.0
7,AT_Battery,2050,1,19,21,0.0
8,AT_Battery,2050,1,22,24,0.0
9,AT_Battery,2050,2,1,3,0.0
10,AT_Battery,2050,2,4,6,-0.0
11,AT_Battery,2050,2,7,9,0.0
12,AT_Battery,2050,2,10,12,0.0
13,AT_Battery,2050,2,13,15,0.0
14,AT_Battery,2050,2,16,18,0.0
15,AT_Battery,2050,2,19,21,0.0
16,AT_Battery,2050,2,22,24,0.0
17,AT_Battery,2050,3,1,3,0.0
18,AT_Battery,2050,3,4,6,0.0
19,AT_Battery,2050,3,7,9,0.0
20,AT_Battery,2050,3,10,12,0.0
21,AT_Battery,2050,3,13,15,-2.164804687500001
22,AT_Battery,2050,3,16,18,0.0
23,AT_Battery,2050,3,19,21,0.0
24,AT_Battery,2050,3,22,24,0.0
25,AT_Battery,2050,4,1,3,0.0
26,AT_Battery,2050,4,4,6,0.0
27,AT_Battery,2050,4,7,9,0.0
28,AT_Battery,2050,4,10,12,0.0
29,AT_Battery,2050,4,13,15,0.0
30,AT_Battery,2050,4,16,18,0.0
31,AT_Battery,2050,4,19,21,0.0
32,AT_Battery,2050,4,22,24,0.0
33,AT_Battery,2050,5,1,3,0.0
34,AT_Battery,2050,5,4,6,0.0
35,AT_Battery,2050,5,7,9,0.0
36,AT_Battery,2050,5,10,12,0.0
37,AT_Battery,2050,5,13,15,0.0
38,AT_Battery,2050,5,16,18,0.0
39,AT_Battery,2050,5,19,21,0.0
40,AT_Battery,2050,5,22,24,0.0
41,AT_Battery,2050,6,1,3,0.0
42,AT_Battery,2050,6,4,6,0.0
43,AT_Battery,2050,6,7,9,0.0
44,AT_Battery,2050,6,10,12,0.0
45,AT_Battery,2050,6,13,15,-0.0
46,AT_Battery,2050,6,16,18,0.0
47,AT_Battery,2050,6,19,21,0.0
48,AT_Battery,2050,6,22,24,0.0
49,AT_Battery,2050,7,1,3,0.0
50,AT_Battery,2050,7,4,6,0.0
51,AT_Battery,2050,7,7,9,0.0
52,AT_Battery,2050,7,10,12,0.0
53,AT_Battery,2050,7,13,15,-0.0
54,AT_Battery,2050,7,16,18,0.0
55,AT_Battery,2050,7,19,21,0.0
56,AT_Battery,2050,7,22,24,0.0
57,AT_Battery,2050,8,1,3,0.0
