id,asset,year,rep_period,time_block_start,time_block_end,dual_min_output_flow_with_unit_commitment
1,AT_CCGT,2030,1,1,2,0.0
2,AT_CCGT,2030,1,3,3,0.0
3,AT_CCGT,2030,1,4,4,0.0
4,AT_CCGT,2030,1,5,6,0.0
5,AT_CCGT,2030,1,7,8,0.0
6,AT_CCGT,2030,1,9,9,0.0
7,AT_CCGT,2030,1,10,10,0.0
8,AT_CCGT,2030,1,11,12,0.0
9,AT_CCGT,2030,1,13,14,0.0
10,AT_CCGT,2030,1,15,15,0.0
11,AT_CCGT,2030,1,16,16,0.0
12,AT_CCGT,2030,1,17,18,0.0
13,AT_CCGT,2030,1,19,20,0.0
14,AT_CCGT,2030,1,21,21,0.0
15,AT_CCGT,2030,1,22,22,0.0
16,AT_CCGT,2030,1,23,24,0.0
17,AT_CCGT,2030,2,1,2,0.0
18,AT_CCGT,2030,2,3,3,0.0
19,AT_CCGT,2030,2,4,4,0.0
20,AT_CCGT,2030,2,5,6,0.0
21,AT_CCGT,2030,2,7,8,0.0
22,AT_CCGT,2030,2,9,9,0.0
23,AT_CCGT,2030,2,10,10,0.0
24,AT_CCGT,2030,2,11,12,0.0
25,AT_CCGT,2030,2,13,14,0.0
26,AT_CCGT,2030,2,15,15,0.0
27,AT_CCGT,2030,2,16,16,0.0
28,AT_CCGT,2030,2,17,18,0.0
29,AT_CCGT,2030,2,19,20,0.0
30,AT_CCGT,2030,2,21,21,0.0
31,AT_CCGT,2030,2,22,22,0.0
32,AT_CCGT,2030,2,23,24,0.0
33,AT_CCGT,2030,3,1,2,0.0
34,AT_CCGT,2030,3,3,3,0.0
35,AT_CCGT,2030,3,4,4,0.0
36,AT_CCGT,2030,3,5,6,0.0
37,AT_CCGT,2030,3,7,8,0.0
38,AT_CCGT,2030,3,9,9,0.0
39,AT_CCGT,2030,3,10,10,0.0
40,AT_CCGT,2030,3,11,12,0.0
41,AT_CCGT,2030,3,13,14,0.0
42,AT_CCGT,2030,3,15,15,0.0
43,AT_CCGT,2030,3,16,16,0.0
44,AT_CCGT,2030,3,17,18,0.0
45,AT_CCGT,2030,3,19,20,0.0
46,AT_CCGT,2030,3,21,21,0.0
47,AT_CCGT,2030,3,22,22,0.0
48,AT_CCGT,2030,3,23,24,0.0
49,AT_CCGT,2030,4,1,2,0.0
50,AT_CCGT,2030,4,3,3,0.0
51,AT_CCGT,2030,4,4,4,0.0
52,AT_CCGT,2030,4,5,6,0.0
53,AT_CCGT,2030,4,7,8,0.0
54,AT_CCGT,2030,4,9,9,0.0
55,AT_CCGT,2030,4,10,10,0.0
56,AT_CCGT,2030,4,11,12,0.0
57,AT_CCGT,2030,4,13,14,0.0
