id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2050,false,10.0,,0.22719605119860886
2,BE_Battery,2050,false,10.0,,0.0
3,DE_Battery,2050,false,10.0,,1.2921021937509067
4,FR_Battery,2050,false,10.0,,0.0
5,LU_Battery,2050,false,10.0,,4.824220544400077
6,CH_Battery,2050,false,10.0,,0.062214605741610286
7,UK_Battery,2050,false,10.0,,0.7064622901896656
8,DK_Battery,2050,false,10.0,,0.03943708248680196
9,NO_Battery,2050,false,10.0,,0.7386394851433579
10,IE_Battery,2050,false,10.0,,0.0
11,SE_Battery,2050,false,10.0,,0.03179468707094202
12,AT_Battery,2050,false,10.0,,2.7360394055220696
13,CZ_Battery,2050,false,10.0,,0.7424187787726751
14,PL_Battery,2050,false,10.0,,0.0
15,ES_Battery,2050,false,10.0,,6.545857928624173
16,IT_Battery,2050,false,10.0,,0.9279485770239262
17,LT_Battery,2050,false,10.0,,0.0
18,FI_Battery,2050,false,10.0,,0.0
19,SI_Battery,2050,false,10.0,,26.617973294520656
20,HU_Battery,2050,false,10.0,,0.30412808718301676
21,SK_Battery,2050,false,10.0,,8.595073827444883
22,PT_Battery,2050,false,10.0,,14.844350537617993
23,HR_Battery,2050,false,10.0,,1.2548528488960073
24,RO_Battery,2050,false,10.0,,0.11386722115668046
25,GR_Battery,2050,false,10.0,,37.89945948785449
26,LV_Battery,2050,false,10.0,,0.0
27,EE_Battery,2050,false,10.0,,20.72613860113887
28,MT_Battery,2050,false,10.0,,12.021562064452159
29,CY_Battery,2050,false,10.0,,23.851828852930204
30,BG_Battery,2050,false,10.0,,21.05065015791869
