asset,commission_year,decommissionable,initial_storage_units,initial_units,milestone_year
NL_Solar,2030,false,0.0,0.0,2030
NL_Wind_Onshore,2030,false,0.0,0.0,2030
NL_Wind_Offshore,2030,false,0.0,0.0,2030
NL_Coal,2030,false,0.0,0.0,2030
NL_Nuclear,2030,false,0.0,0.0,2030
NL_CCGT,2030,false,0.0,0.0,2030
NL_OCGT,2030,false,0.0,0.0,2030
NL_Battery,2030,false,0.0,0.0,2030
BE_Solar,2030,false,0.0,0.0,2030
BE_Wind_Onshore,2030,false,0.0,0.0,2030
BE_Wind_Offshore,2030,false,0.0,0.0,2030
BE_Coal,2030,false,0.0,0.0,2030
BE_Nuclear,2030,false,0.0,0.0,2030
BE_CCGT,2030,false,0.0,0.0,2030
BE_OCGT,2030,false,0.0,0.0,2030
BE_Battery,2030,false,0.0,0.0,2030
DE_Solar,2030,false,0.0,0.0,2030
DE_Wind_Onshore,2030,false,0.0,0.0,2030
DE_Wind_Offshore,2030,false,0.0,0.0,2030
DE_Coal,2030,false,0.0,0.0,2030
DE_Nuclear,2030,false,0.0,0.0,2030
DE_CCGT,2030,false,0.0,0.0,2030
DE_OCGT,2030,false,0.0,0.0,2030
DE_Battery,2030,false,0.0,0.0,2030
FR_Solar,2030,false,0.0,0.0,2030
FR_Wind_Onshore,2030,false,0.0,0.0,2030
FR_Wind_Offshore,2030,false,0.0,0.0,2030
FR_Coal,2030,false,0.0,0.0,2030
FR_Nuclear,2030,false,0.0,0.0,2030
FR_CCGT,2030,false,0.0,0.0,2030
FR_OCGT,2030,false,0.0,0.0,2030
FR_Battery,2030,false,0.0,0.0,2030
LU_Solar,2030,false,0.0,0.0,2030
LU_Wind_Onshore,2030,false,0.0,0.0,2030
LU_Wind_Offshore,2030,false,0.0,0.0,2030
LU_Coal,2030,false,0.0,0.0,2030
LU_Nuclear,2030,false,0.0,0.0,2030
LU_CCGT,2030,false,0.0,0.0,2030
LU_OCGT,2030,false,0.0,0.0,2030
LU_Battery,2030,false,0.0,0.0,2030
CH_Solar,2030,false,0.0,0.0,2030
CH_Wind_Onshore,2030,false,0.0,0.0,2030
CH_Wind_Offshore,2030,false,0.0,0.0,2030
CH_Coal,2030,false,0.0,0.0,2030
CH_Nuclear,2030,false,0.0,0.0,2030
CH_CCGT,2030,false,0.0,0.0,2030
CH_OCGT,2030,false,0.0,0.0,2030
CH_Battery,2030,false,0.0,0.0,2030
UK_Solar,2030,false,0.0,0.0,2030
UK_Wind_Onshore,2030,false,0.0,0.0,2030
UK_Wind_Offshore,2030,false,0.0,0.0,2030
UK_Coal,2030,false,0.0,0.0,2030
UK_Nuclear,2030,false,0.0,0.0,2030
UK_CCGT,2030,false,0.0,0.0,2030
UK_OCGT,2030,false,0.0,0.0,2030
UK_Battery,2030,false,0.0,0.0,2030
DK_Solar,2030,false,0.0,0.0,2030
DK_Wind_Onshore,2030,false,0.0,0.0,2030
DK_Wind_Offshore,2030,false,0.0,0.0,2030
DK_Coal,2030,false,0.0,0.0,2030
DK_Nuclear,2030,false,0.0,0.0,2030
DK_CCGT,2030,false,0.0,0.0,2030
DK_OCGT,2030,false,0.0,0.0,2030
DK_Battery,2030,false,0.0,0.0,2030
NO_Solar,2030,false,0.0,0.0,2030
NO_Wind_Onshore,2030,false,0.0,0.0,2030
NO_Wind_Offshore,2030,false,0.0,0.0,2030
NO_Coal,2030,false,0.0,0.0,2030
NO_Nuclear,2030,false,0.0,0.0,2030
NO_CCGT,2030,false,0.0,0.0,2030
NO_OCGT,2030,false,0.0,0.0,2030
NO_Battery,2030,false,0.0,0.0,2030
IE_Solar,2030,false,0.0,0.0,2030
IE_Wind_Onshore,2030,false,0.0,0.0,2030
IE_Wind_Offshore,2030,false,0.0,0.0,2030
IE_Coal,2030,false,0.0,0.0,2030
IE_Nuclear,2030,false,0.0,0.0,2030
IE_CCGT,2030,false,0.0,0.0,2030
IE_OCGT,2030,false,0.0,0.0,2030
IE_Battery,2030,false,0.0,0.0,2030
SE_Solar,2030,false,0.0,0.0,2030
SE_Wind_Onshore,2030,false,0.0,0.0,2030
SE_Wind_Offshore,2030,false,0.0,0.0,2030
SE_Coal,2030,false,0.0,0.0,2030
SE_Nuclear,2030,false,0.0,0.0,2030
SE_CCGT,2030,false,0.0,0.0,2030
SE_OCGT,2030,false,0.0,0.0,2030
SE_Battery,2030,false,0.0,0.0,2030
AT_Solar,2030,false,0.0,0.0,2030
AT_Wind_Onshore,2030,false,0.0,0.0,2030
AT_Wind_Offshore,2030,false,0.0,0.0,2030
AT_Coal,2030,false,0.0,0.0,2030
AT_Nuclear,2030,false,0.0,0.0,2030
AT_CCGT,2030,false,0.0,0.0,2030
AT_OCGT,2030,false,0.0,0.0,2030
AT_Battery,2030,false,0.0,0.0,2030
CZ_Solar,2030,false,0.0,0.0,2030
CZ_Wind_Onshore,2030,false,0.0,0.0,2030
CZ_Wind_Offshore,2030,false,0.0,0.0,2030
CZ_Coal,2030,false,0.0,0.0,2030
CZ_Nuclear,2030,false,0.0,0.0,2030
